PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees,ZIP
12/5/2015,54,47,40,46,43,39,93,85,77,30.3,30.25,30.21,10,10,10,9,3,10,0,6,Fog,132,94107
12/6/2015,63,54,44,56,49,38,93,72,51,30.33,30.28,30.23,10,8,0,14,5,17,T,7,Fog-Rain,101,94107
12/7/2015,59,54,49,56,53,48,100,93,86,30.33,30.29,30.25,10,5,0,10,3,11,0,7,Fog,230,94107
12/8/2015,61,54,46,54,51,45,96,88,80,30.27,30.23,30.17,10,7,0,7,3,8,0,7,Fog,148,94107
12/9/2015,66,60,53,55,54,51,93,80,67,30.18,30.1,29.99,10,9,6,14,5,16,T,7,,148,94107
12/10/2015,62,56,49,56,51,45,93,78,62,29.97,29.9,29.86,10,8,2,33,10,39,0.3,7,Rain-Thunderstorm,215,94107
12/11/2015,58,51,43,47,43,40,96,77,57,30.05,29.91,29.82,10,10,4,29,8,36,0.06,4,Rain,287,94107
12/12/2015,57,48,39,49,43,37,86,71,55,30.19,30.15,30.05,10,10,10,16,5,19,0,5,,184,94107
12/13/2015,56,52,47,52,46,35,100,77,54,30.18,29.99,29.86,10,6,0,32,18,36,0.59,6,Fog-Rain,257,94107
12/14/2015,56,50,44,38,34,29,66,51,35,30.16,30.12,30.07,10,10,10,17,9,25,0,2,,321,94107
12/15/2015,62,49,35,37,30,24,85,57,28,30.22,30.18,30.13,10,10,10,22,6,25,0,0,,20,94107
12/16/2015,56,47,37,39,32,29,70,60,50,30.27,30.24,30.22,10,10,10,13,5,14,0,1,,68,94107
12/17/2015,58,48,38,46,39,31,93,74,55,30.3,30.24,30.17,10,10,10,9,4,11,0,4,,109,94107
12/18/2015,59,52,45,51,46,41,100,79,57,30.17,30.04,29.95,10,8,3,17,9,23,0.04,6,Rain,154,94107
12/19/2015,56,51,46,52,46,37,100,81,61,30.14,30.01,29.95,10,9,4,20,5,31,T,4,Rain,287,94107
12/20/2015,53,46,39,50,44,35,100,86,71,30.23,30.17,30.14,10,6,2,28,12,35,0.13,7,Rain,136,94107
12/21/2015,57,54,50,56,53,49,100,97,93,30.15,30.04,29.86,10,4,1,22,14,27,0.18,8,Rain,186,94107
12/22/2015,59,56,52,56,52,39,93,80,66,29.92,29.84,29.75,10,8,4,37,20,46,T,6,Rain,271,94107
12/23/2015,56,52,47,44,38,34,71,57,43,30.03,29.99,29.92,10,10,10,29,12,33,T,3,,297,94107
12/24/2015,55,48,41,48,42,32,100,80,59,30.09,29.98,29.94,10,9,2,30,12,36,0.14,6,Rain,281,94107
12/25/2015,53,44,35,39,34,31,85,68,50,30.39,30.24,30.09,10,10,10,15,5,19,0,1,,27,94107
12/26/2015,55,45,34,30,25,21,82,55,28,30.47,30.4,30.34,10,10,10,18,6,22,0,0,,52,94107
12/27/2015,49,40,30,38,32,25,85,71,56,30.33,30.23,30.11,10,10,10,15,4,17,T,5,,92,94107
12/28/2015,48,42,36,39,36,33,89,78,66,30.12,30.07,30.01,10,10,5,14,5,17,0.04,4,Rain,69,94107
12/29/2015,52,42,32,40,35,31,92,73,54,30.2,30.12,30.04,10,10,7,10,4,12,0,0,,105,94107
12/30/2015,53,44,34,43,36,30,89,77,65,30.29,30.25,30.2,10,9,2,15,7,17,T,6,Rain,83,94107
12/31/2015,54,44,34,36,30,25,82,59,36,30.27,30.21,30.15,10,10,10,16,6,20,0,0,,46,94107
1/1/2016,52,44,35,30,23,15,64,47,29,30.2,30.15,30.13,10,10,10,17,7,28,0,3,,76,94107
1/2/2016,53,48,43,34,30,27,62,50,38,30.13,30.05,29.97,10,10,10,13,7,16,0,7,,79,94107
1/3/2016,59,52,44,41,35,31,62,51,40,29.96,29.87,29.8,10,10,10,16,7,19,T,8,Rain,75,94107
1/4/2016,62,55,47,53,47,39,100,83,65,29.79,29.75,29.65,10,8,3,20,8,25,0.08,7,Rain,147,94107
1/5/2016,55,52,49,52,49,46,100,92,83,29.84,29.71,29.62,10,7,1,24,11,32,0.36,7,Rain,167,94107
1/6/2016,54,51,48,47,46,44,93,82,71,29.79,29.71,29.63,10,8,2,35,13,39,0.51,8,Rain,148,94107
1/7/2016,58,50,42,46,44,40,93,82,71,30.05,29.95,29.78,10,10,9,14,5,16,T,4,Fog-Rain,20,94107
1/8/2016,53,48,42,46,43,39,96,81,66,30.14,30.08,30.04,10,9,7,9,3,12,T,7,Rain,107,94107
1/9/2016,56,53,49,51,46,45,96,84,72,30.17,30.13,30.09,10,9,4,17,8,21,T,8,Rain,111,94107
1/10/2016,58,53,48,50,45,44,100,83,66,30.25,30.2,30.15,10,9,4,14,7,16,T,6,,70,94107
1/11/2016,60,55,49,49,46,44,86,77,67,30.34,30.29,30.26,10,10,10,15,4,17,0,7,,36,94107
1/12/2016,62,55,47,48,46,43,83,72,60,30.3,30.17,30.02,10,10,8,23,7,29,0,6,,106,94107
1/13/2016,59,53,46,54,49,43,93,80,67,30.24,30.11,29.99,10,9,2,25,12,31,0.06,5,Rain,210,94107
1/14/2016,56,50,43,51,46,41,92,77,61,30.21,30.1,30.01,10,10,9,22,9,26,0.02,7,Rain,146,94107
1/15/2016,60,53,46,51,48,45,89,72,55,30.18,30.1,30.01,10,9,3,13,5,20,0.04,5,Rain,344,94107
1/16/2016,61,56,51,59,54,52,100,90,80,30.19,30.16,30.12,10,8,2,21,6,27,0.02,8,Rain,122,94107
1/17/2016,59,58,56,57,55,53,93,90,86,30.17,30.1,30.06,10,8,2,20,10,23,0.67,8,Rain,145,94107
1/18/2016,63,58,52,56,54,51,100,84,67,30.18,30.13,30.07,10,9,3,16,3,18,0.25,6,Fog-Rain,186,94107
1/19/2016,62,57,52,58,54,48,100,89,78,30.22,30.03,29.9,10,7,2,30,12,38,0.43,7,Rain,182,94107
1/20/2016,60,53,46,51,48,44,100,86,72,30.3,30.24,30.21,10,6,0,8,4,12,0,6,Fog,77,94107
1/21/2016,62,56,50,52,49,47,89,73,56,30.22,30.12,30.03,10,10,8,23,7,30,0,7,,12,94107
1/22/2016,60,57,54,56,53,46,93,79,64,30.07,29.99,29.94,10,7,2,28,13,34,0.15,8,Rain,146,94107
1/23/2016,58,55,51,54,48,44,77,74,71,30.16,30.08,30,10,9,4,25,14,30,0.01,5,Rain,253,94107
1/24/2016,58,50,42,46,43,40,89,74,59,30.26,30.22,30.15,10,10,10,16,5,18,0,4,,276,94107
1/25/2016,60,55,49,50,47,45,86,77,67,30.29,30.26,30.23,10,10,10,13,4,15,0,6,,282,94107
1/26/2016,60,52,43,51,46,42,92,79,66,30.38,30.32,30.27,10,9,6,15,4,17,0,4,,19,94107
1/27/2016,63,55,47,49,46,44,86,71,56,30.35,30.31,30.27,10,10,8,13,4,16,0,3,,106,94107
1/28/2016,59,52,44,51,47,41,89,78,67,30.3,30.26,30.2,10,10,8,13,4,16,T,6,Rain,119,94107
1/29/2016,61,58,54,57,54,50,100,89,77,30.21,30.1,30.03,10,8,1,16,9,20,0.01,8,Rain,201,94107
1/30/2016,59,55,51,53,44,40,93,73,53,30.09,30.04,29.99,10,10,10,20,10,24,T,7,,285,94107
1/31/2016,57,53,49,42,36,30,74,57,40,29.99,29.86,29.76,10,10,10,25,13,36,0,4,,317,94107
2/1/2016,58,50,42,39,31,27,76,54,32,30.27,30.18,30,10,10,10,21,10,30,0,1,,324,94107
2/2/2016,58,50,42,46,41,37,93,77,61,30.32,30.26,30.22,10,9,5,21,10,24,T,5,Rain,93,94107
2/3/2016,57,49,40,44,39,36,82,67,51,30.44,30.38,30.32,10,10,10,12,4,14,T,6,,120,94107
2/4/2016,62,54,45,43,41,40,86,66,46,30.47,30.41,30.37,10,10,9,14,6,19,0,4,,76,94107
2/5/2016,63,52,40,49,43,36,86,71,55,30.43,30.4,30.36,10,10,8,12,5,13,0,2,,36,94107
2/6/2016,62,52,43,49,45,39,93,75,62,30.44,30.37,30.3,10,10,7,9,4,,0,3,Fog,324,94107
2/7/2016,74,59,44,49,45,41,89,63,37,30.32,30.24,30.17,10,10,10,18,4,21,0,0,,351,94107
2/8/2016,79,66,52,49,44,38,72,48,23,30.26,30.2,30.16,10,10,10,16,6,18,0,0,,121,94107
2/9/2016,70,58,46,52,47,41,83,64,45,30.25,30.18,30.14,10,10,7,14,4,17,0,3,,226,94107
2/10/2016,68,58,48,52,50,46,93,73,52,30.28,30.21,30.15,10,9,6,14,5,21,0,4,Fog,277,94107
2/11/2016,74,61,48,52,49,44,86,62,38,30.2,30.15,30.11,10,10,7,14,4,17,0,5,,309,94107
2/12/2016,66,57,47,55,51,45,93,77,60,30.24,30.21,30.18,10,9,5,12,4,14,0,4,Fog,275,94107
2/13/2016,66,59,51,53,51,47,93,77,60,30.3,30.25,30.21,10,7,0,15,4,17,0,5,Fog,266,94107
2/14/2016,71,59,47,54,50,44,93,73,53,30.32,30.26,30.2,10,10,9,16,6,18,0,4,,285,94107
2/15/2016,74,63,51,53,49,45,93,64,35,30.2,30.11,30.03,10,10,10,14,4,16,0,1,,270,94107
2/16/2016,76,63,50,56,52,47,83,63,43,30.02,29.88,29.7,10,10,10,10,4,11,0,3,,268,94107
2/17/2016,69,61,52,55,50,45,100,70,40,29.69,29.62,29.53,10,9,3,36,18,44,0.07,7,Rain-Thunderstorm,186,94107
2/18/2016,63,57,50,48,45,43,86,69,51,30.06,29.94,29.7,10,10,10,29,12,36,0.07,4,Rain,210,94107
2/19/2016,63,56,49,51,47,45,89,73,56,30.24,30.14,30.04,10,9,2,25,9,30,T,5,Rain,172,94107
2/20/2016,60,51,42,47,44,41,100,77,53,30.25,30.21,30.16,10,10,8,14,5,16,0,4,Fog,311,94107
2/21/2016,64,53,41,48,43,37,89,71,52,30.29,30.26,30.22,10,10,10,18,6,22,0,3,,316,94107
2/22/2016,69,57,44,54,47,41,93,71,49,30.27,30.19,30.07,10,10,10,14,5,19,0,5,,328,94107
2/23/2016,68,56,44,48,42,31,89,59,28,30.1,30.06,30,10,10,10,12,5,13,0,4,,284,94107
2/24/2016,70,58,45,48,44,38,86,64,42,30.17,30.12,30.09,10,10,10,15,5,19,0,2,,293,94107
2/25/2016,72,61,49,52,49,45,83,65,47,30.17,30.11,30.08,10,10,8,10,4,12,0,1,,286,94107
2/26/2016,66,59,51,54,51,48,89,75,60,30.24,30.15,30.09,10,10,7,20,7,22,T,6,Fog-Rain,299,94107
2/27/2016,68,60,51,54,49,45,93,69,45,30.22,30.18,30.13,10,10,6,14,7,16,T,5,Fog-Rain,286,94107
2/28/2016,66,57,47,55,48,43,93,69,44,30.24,30.2,30.16,10,10,10,13,4,14,0,6,Fog,240,94107
2/29/2016,72,61,49,54,49,45,96,68,40,30.22,30.17,30.11,10,6,0,12,4,14,0,4,Fog,242,94107
3/1/2016,71,61,50,54,47,30,83,55,26,30.18,30.14,30.08,10,10,10,18,5,22,0,3,,310,94107
3/2/2016,67,60,52,55,51,47,93,78,63,30.14,30.1,30.05,10,9,5,22,7,24,0,6,,230,94107
3/3/2016,65,62,59,57,53,49,84,70,56,30.12,30.09,30.04,10,10,10,18,6,22,T,8,Rain,174,94107
3/4/2016,65,62,59,62,58,55,93,86,78,30.04,29.97,29.91,10,8,2,17,8,21,0.06,8,Rain,193,94107
3/5/2016,65,61,56,60,56,51,93,86,78,29.92,29.77,29.57,10,7,2,40,19,46,0.86,8,Rain,163,94107
3/6/2016,62,57,51,52,47,42,93,72,51,30.02,29.89,29.73,10,9,5,31,17,40,0.36,7,Rain,219,94107
3/7/2016,59,54,49,52,46,40,93,74,55,29.99,29.81,29.71,10,8,2,37,11,45,0.18,7,Rain,319,94107
3/8/2016,59,51,42,44,42,38,82,70,57,30.14,30.1,30.01,10,10,9,18,7,22,T,5,Rain,113,94107
3/9/2016,63,58,52,57,51,43,86,76,66,30.11,30.08,30.05,10,8,2,15,6,19,T,8,Rain,137,94107
3/10/2016,64,62,59,58,55,46,84,70,56,30.05,29.99,29.88,10,7,2,20,13,,0,7,Rain,158,94107
3/11/2016,59,56,53,57,49,43,93,77,61,30.04,29.82,29.69,10,9,2,36,20,42,0,7,Rain,209,94107
3/12/2016,60,56,52,53,50,42,86,74,61,30.14,30.11,30.07,10,8,2,25,17,29,T,8,Rain,166,94107
3/13/2016,60,58,56,58,55,52,100,90,80,30.1,30.04,30,10,6,1,22,13,26,0,8,Rain,189,94107
3/14/2016,62,56,50,55,46,40,93,70,46,30.27,30.21,30.06,10,10,10,21,9,24,0,5,,288,94107
3/15/2016,66,55,44,47,44,40,89,69,48,30.29,30.22,30.15,10,10,10,16,6,19,0,1,,291,94107
3/16/2016,70,58,46,50,45,41,86,63,40,30.15,30.08,29.99,10,10,10,13,5,17,0,1,,299,94107
3/17/2016,75,62,49,54,50,45,86,64,41,30,29.94,29.88,10,10,10,16,6,19,0,0,,298,94107
3/18/2016,64,58,52,51,50,49,93,77,60,30.05,30,29.94,10,10,10,20,8,22,0,6,,284,94107
3/19/2016,67,61,54,55,51,48,86,75,63,30.07,30.04,30.01,10,10,8,16,8,18,0,6,,239,94107
3/20/2016,66,59,52,58,53,48,89,76,63,30.1,30.06,30.05,10,9,2,20,9,23,0,7,Rain,205,94107
3/21/2016,65,59,52,55,50,44,89,78,67,30.13,30.08,30.04,10,10,7,25,13,31,0,6,Rain,222,94107
3/22/2016,63,55,47,48,44,42,86,69,51,30.27,30.22,30.13,10,10,10,23,10,30,T,2,,313,94107
3/23/2016,67,57,47,49,44,37,83,60,37,30.33,30.29,30.24,10,10,10,17,6,20,0,3,,287,94107
3/24/2016,68,58,47,54,49,44,86,72,58,30.3,30.23,30.15,10,10,10,20,7,25,0,1,,235,94107
3/25/2016,67,59,50,50,48,45,89,69,48,30.14,30.06,29.97,10,10,7,18,6,23,0,2,,228,94107
3/26/2016,67,58,48,54,50,44,86,69,52,30.04,30,29.97,10,10,10,20,9,21,0,2,,276,94107
3/27/2016,64,59,53,52,48,43,86,73,60,30.11,30.06,30,10,10,7,24,14,28,0,5,,257,94107
3/28/2016,63,57,50,43,36,30,66,53,39,30,29.94,29.88,10,10,9,24,13,27,T,1,Rain,300,94107
3/29/2016,65,54,43,46,39,31,83,57,30,29.92,29.89,29.86,10,10,10,20,8,26,0,1,,257,94107
3/30/2016,63,56,48,48,46,41,82,69,56,30.09,30,29.92,10,10,10,17,11,22,0,4,,262,94107
3/31/2016,64,59,54,49,47,46,83,70,56,30.15,30.13,30.1,10,10,10,26,11,30,0,5,,262,94107
4/1/2016,63,58,53,48,47,46,83,70,56,30.22,30.18,30.14,10,10,10,20,13,23,0,4,,264,94107
4/2/2016,69,60,51,50,47,46,89,70,51,30.22,30.17,30.11,10,10,10,22,8,24,0,6,,270,94107
4/3/2016,63,57,51,51,48,46,89,75,60,30.16,30.13,30.11,10,10,8,22,9,24,0,6,,268,94107
4/4/2016,68,61,54,52,50,48,86,68,49,30.25,30.2,30.16,10,9,2,16,6,20,0,4,,228,94107
4/5/2016,79,64,48,52,46,39,89,60,31,30.25,30.18,30.09,10,10,7,16,6,18,0,1,,277,94107
4/6/2016,86,72,57,55,48,43,68,48,28,30.13,30.05,29.94,10,10,10,14,6,17,0,3,,154,94107
4/7/2016,72,65,57,53,50,47,78,60,41,29.97,29.94,29.91,10,10,10,18,9,21,0,7,,317,94107
4/8/2016,68,63,57,56,54,52,87,75,63,29.92,29.89,29.87,10,9,6,15,8,20,T,8,Rain,295,94107
4/9/2016,64,61,58,61,56,54,100,89,78,29.95,29.91,29.88,10,7,2,15,7,17,0,8,Rain,273,94107
4/10/2016,59,57,55,55,51,49,93,83,72,30.01,29.92,29.87,10,8,2,16,10,19,0,8,Rain,256,94107
